Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2022-12-07,2022,12,7,Wednesday,49,2022-49,175.03,179.38,172.22,174.04,84213300,174.04,-0.032143331123685615,182.25142857142856,209.2668
2022-12-08,2022,12,8,Thursday,49,2022-49,172.2,175.2,169.06,173.44,97624500,173.44,-0.003447430865732959,181.55642857142857,206.9794
2022-12-09,2022,12,9,Friday,49,2022-49,173.84,182.5,173.36,179.05,104872300,179.05,0.0323454827685834,181.475,205.19619999999998
2022-12-12,2022,12,12,Monday,50,2022-50,176.1,177.37,167.52,167.82,109794500,167.82,-0.0627198857086465,181.47142857142856,203.24760000000003
2022-12-13,2022,12,13,Tuesday,50,2022-50,174.87,175.05,156.91,160.95,175862700,160.95,-0.04093677795344208,180.83142857142857,201.61860000000001
2022-12-14,2022,12,14,Wednesday,50,2022-50,159.25,161.62,155.31,156.8,140682300,156.8,-0.025784367661833008,178.94571428571427,199.7658
2022-12-15,2022,12,15,Thursday,50,2022-50,153.44,160.93,153.28,157.67,122334500,157.67,0.005548438139381551,177.14642857142854,198.10300000000004
2022-12-16,2022,12,16,Friday,50,2022-50,159.64,160.99,150.04,150.23,139032200,150.23,-0.047187179094365206,174.8114285714286,196.345
2022-12-19,2022,12,19,Monday,51,2022-51,154.0,155.25,145.82,149.87,139390600,149.87,-0.00239632976495896,172.59999999999997,194.88099999999997
2022-12-20,2022,12,20,Tuesday,51,2022-51,146.05,148.47,137.66,137.8,159563300,137.8,-0.08053641461716088,168.53571428571428,193.17780000000002
2022-12-21,2022,12,21,Wednesday,51,2022-51,139.34,141.26,135.89,137.57,145417400,137.57,-0.0016690545895901021,164.455,191.59920000000002
2022-12-22,2022,12,22,Thursday,51,2022-51,136.0,136.63,122.26,125.35,210090300,125.35,-0.08882756559936855,159.49,189.76139999999998
2022-12-23,2022,12,23,Friday,51,2022-51,126.37,128.62,121.02,123.15,166989700,123.15,-0.017550833466474902,155.25428571428571,187.79
2022-12-27,2022,12,27,Tuesday,52,2022-52,117.5,119.67,108.76,109.1,208643400,109.1,-0.1140885333144338,150.20285714285714,185.87220000000002
2022-12-28,2022,12,28,Wednesday,52,2022-52,110.35,116.27,108.24,112.71,221070500,112.71,0.03308891531476843,145.82214285714286,183.7394
2022-12-29,2022,12,29,Thursday,52,2022-52,120.39,123.57,117.5,121.82,221923300,121.82,0.0808269069678893,142.13500000000002,181.77199999999996
2022-12-30,2022,12,30,Friday,52,2022-52,119.95,124.48,119.75,123.18,157777300,123.18,0.011164017515666869,138.1442857142857,179.7948
2023-01-03,2023,1,3,Tuesday,01,2023-01,118.47,118.8,104.64,108.1,231402800,108.1,-0.12242248574195735,133.87857142857143,177.81119999999999
2023-01-04,2023,1,4,Wednesday,01,2023-01,109.11,114.59,107.52,113.64,180389000,113.64,0.05124885285593783,130.49928571428572,175.7952
